Títulos,Precios,M2,Planta,Baños,Habitaciones,Calefacción,AireAC,Ascensor,Enlace
Piso de 270 m² con terraza en Calle Rosalía de Castro/ Fuencarral - El Pardo ,875.000 €,270 m²,2ª Planta,4 baños,5 habs.,Sin calefacción,Sin AC,Sin ascensor,https://www.fotocasa.es/es/comprar/vivienda/madrid-capital/aire-acondicionado-calefaccion-parking-jardin-terraza-ascensor-piscina/165408563/d?from=list
Casa adosada de 370 m² con terraza en Calle del Pintor Brenes/ Hortaleza ,895.000 €,370 m²,Sin información,3 baños,3 habs.,Sin calefacción,Sin AC,Sin ascensor,https://www.fotocasa.es/es/comprar/vivienda/madrid-capital/calefaccion-parking-jardin-terraza-trastero-patio-no-amueblado/165572605/d?from=list
Piso de 169 m² con terraza en Arturo Soria/ Ciudad Lineal ,668.000 €,169 m²,1ª Planta,3 baños,4 habs.,Sin calefacción,Sin AC,Sin ascensor,https://www.fotocasa.es/es/comprar/vivienda/madrid-capital/aire-acondicionado-calefaccion-parking-terraza-trastero-ascensor-piscina/165401162/d?from=list
Piso de 87 m² con ascensor en Virgen del Puig/ Ciudad Lineal ,310.000 €,87 m²,6ª Planta,2 baños,3 habs.,Sin calefacción,Sin AC,Sin ascensor,https://www.fotocasa.es/es/comprar/vivienda/madrid-capital/aire-acondicionado-calefaccion-ascensor-no-amueblado/164756029/d?from=list
Piso de 94 m² con terraza en Calle de Sepúlveda/ Latina ,199.000 €,94 m²,3ª Planta,1 baño,3 habs.,Sin calefacción,Sin AC,Sin ascensor,https://www.fotocasa.es/es/comprar/vivienda/madrid-capital/calefaccion-terraza-trastero/164870247/d?from=list
Piso de 130 m² con ascensor en Calle de Eduardo Marquina/ Carabanchel ,259.990 €,130 m²,1ª Planta,2 baños,4 habs.,Sin calefacción,Sin AC,Sin ascensor,https://www.fotocasa.es/es/comprar/vivienda/madrid-capital/aire-acondicionado-calefaccion-ascensor-internet/164039671/d?from=list
Piso de 60 m² con terraza en Calle de Domingo de Silva/ Latina ,189.000 €,60 m²,4ª Planta,1 baño,3 habs.,Sin calefacción,Sin AC,Sin ascensor,https://www.fotocasa.es/es/comprar/vivienda/madrid-capital/terraza-ascensor/164031104/d?from=list
Estudio de 35 m² con ascensor en De Claudio Coello/ Barrio de Salamanca ,415.000 €,35 m²,4ª Planta,1 baño,Sin información,Sin calefacción,Sin AC,Ascensor,https://www.fotocasa.es/es/comprar/vivienda/madrid-capital/aire-acondicionado-calefaccion-ascensor-amueblado-se-aceptan-mascotas/163685133/d?from=list
Piso de 90 m² con terraza en Calle de la Virgen del Val/ Ciudad Lineal ,285.000 €,90 m²,6ª Planta,1 baño,3 habs.,Sin calefacción,Sin AC,Sin ascensor,https://www.fotocasa.es/es/comprar/vivienda/madrid-capital/aire-acondicionado-calefaccion-terraza-ascensor/164246166/d?from=list
Piso de 40 m² con 1 baño en Paseo Ermita/ Moncloa - Aravaca ,165.000 €,40 m²,1ª Planta,1 baño,Sin información,Calefacción,Sin AC,Sin ascensor,https://www.fotocasa.es/es/comprar/vivienda/madrid-capital/calefaccion/163789742/d?from=list
Piso de 67 m² con terraza en Vicálvaro ,127.000 €,67 m²,2ª Planta,1 baño,3 habs.,Sin calefacción,Sin AC,Sin ascensor,https://www.fotocasa.es/es/comprar/vivienda/madrid-capital/aire-acondicionado-terraza/165523093/d?from=list
Piso de 100 m² con ascensor en Calle de Vizcaya/ Arganzuela ,444.000 €,100 m²,5ª Planta,2 baños,3 habs.,Sin calefacción,Sin AC,Sin ascensor,https://www.fotocasa.es/es/comprar/vivienda/madrid-capital/aire-acondicionado-calefaccion-ascensor/165164479/d?from=list
Piso de 30 m² con 1 baño en Calle de Segovia/ Arganzuela ,110.000 €,30 m²,Bajos,1 baño,Sin información,Sin calefacción,Sin AC,Sin ascensor,https://www.fotocasa.es/es/comprar/vivienda/madrid-capital/imperial/165573092/d?from=list
Piso de 108 m² con balcón en Marqués de Viana/ Tetuán ,369.000 €,108 m²,7ª Planta,1 baño,3 habs.,Sin calefacción,Sin AC,Sin ascensor,https://www.fotocasa.es/es/comprar/vivienda/madrid-capital/calefaccion-trastero-ascensor/165544300/d?from=list
Piso de 147 m² con ascensor en Calle de José Abascal/ Chamberí ,914.000 €,147 m²,5ª Planta,3 baños,4 habs.,Sin calefacción,Sin AC,Sin ascensor,https://www.fotocasa.es/es/comprar/vivienda/madrid-capital/calefaccion-ascensor/165133891/d?from=list
Piso de 93 m² con aire acondicionado en Oroya/ Carabanchel ,225.000 €,93 m²,3ª Planta,2 baños,3 habs.,Sin calefacción,Sin AC,Sin ascensor,https://www.fotocasa.es/es/comprar/vivienda/madrid-capital/aire-acondicionado-calefaccion/165535354/d?from=list
Piso de 71 m² con aire acondicionado en Calle de las Matas/ Tetuán ,180.000 €,71 m²,Bajos,1 baño,2 habs.,Sin calefacción,Sin AC,Sin ascensor,https://www.fotocasa.es/es/comprar/vivienda/madrid-capital/aire-acondicionado-calefaccion/164876465/d?from=list
Ático de 45 m² con terraza en Calle de Agustín de Rojas/ Chamartín ,169.000 €,45 m²,Sin información,1 baño,1 hab.,Sin calefacción,Sin AC,Sin ascensor,https://www.fotocasa.es/es/comprar/vivienda/madrid-capital/aire-acondicionado-terraza/165518050/d?from=list
Piso de 60 m² con terraza en José Barbastre/ Ciudad Lineal ,180.000 €,60 m²,3ª Planta,1 baño,2 habs.,Sin calefacción,Sin AC,Sin ascensor,https://www.fotocasa.es/es/comprar/vivienda/madrid-capital/calefaccion-terraza-ascensor/164740152/d?from=list
Piso de 269 m² con terraza en Barrio de Salamanca ,2.100.000 €,269 m²,2ª Planta,2 baños,3 habs.,Sin calefacción,Sin AC,Sin ascensor,https://www.fotocasa.es/es/comprar/vivienda/madrid-capital/aire-acondicionado-calefaccion-parking-terraza-trastero-ascensor-parking-no-amueblado/165431970/d?from=list
Piso de 96 m² con ascensor en Centro ,425.000 €,96 m²,5ª Planta,2 baños,2 habs.,Sin calefacción,Sin AC,Sin ascensor,https://www.fotocasa.es/es/comprar/vivienda/madrid-capital/aire-acondicionado-ascensor/165395734/d?from=list
Piso de 120 m² con terraza en Calle Aguetol/ Barajas ,395.000 €,120 m²,3ª Planta,2 baños,4 habs.,Sin calefacción,Sin AC,Sin ascensor,https://www.fotocasa.es/es/comprar/vivienda/madrid-capital/aire-acondicionado-terraza-ascensor-parking-piscina/165264592/d?from=list
Piso de 90 m² con terraza en Calle del Cobalto/ Villaverde ,159.800 €,90 m²,3ª Planta,1 baño,3 habs.,Sin calefacción,Sin AC,Sin ascensor,https://www.fotocasa.es/es/comprar/vivienda/madrid-capital/aire-acondicionado-calefaccion-terraza/164157946/d?from=list
Piso de 105 m² con terraza en Calle de la Fuente de San Pedro/ Vicálvaro ,199.800 €,105 m²,1ª Planta,1 baño,4 habs.,Sin calefacción,Sin AC,Sin ascensor,https://www.fotocasa.es/es/comprar/vivienda/madrid-capital/calefaccion-terraza/162832626/d?from=list
Piso de 139 m² con terraza en Puerto Rico/ Chamartín ,570.000 €,139 m²,Sin información,2 baños,3 habs.,Sin calefacción,Sin AC,Ascensor,https://www.fotocasa.es/es/comprar/vivienda/madrid-capital/calefaccion-parking-terraza-trastero-ascensor/165622676/d?from=list
Ático de 245 m² con terraza en Plaza San Juan de la Cruz/ Chamberí ,1.790.000 €,245 m²,Sin información,3 baños,3 habs.,Sin calefacción,Sin AC,Ascensor,https://www.fotocasa.es/es/comprar/vivienda/madrid-capital/aire-acondicionado-calefaccion-terraza-trastero-ascensor/164916517/d?from=list
Casa adosada de 430 m² con piscina en Hortaleza ,1.320.000 €,430 m²,Sin información,5 baños,6 habs.,Sin calefacción,Sin AC,Sin ascensor,https://www.fotocasa.es/es/comprar/vivienda/madrid-capital/aire-acondicionado-calefaccion-parking-piscina-parking-no-amueblado/165578814/d?from=list
Apartamento en Calle de la Infanta Mercedes/ 92/ Tetuán ,275.000 €,45 m²,4ª Planta,1 baño,1 hab.,Sin calefacción,Sin AC,Sin ascensor,https://www.fotocasa.es/es/comprar/vivienda/madrid-capital/aire-acondicionado-parking-ascensor/165277252/d?from=list
Piso de 114 m² con terraza en Cosmos/ Tetuán ,375.000 €,114 m²,2ª Planta,2 baños,4 habs.,Sin calefacción,Sin AC,Sin ascensor,https://www.fotocasa.es/es/comprar/vivienda/madrid-capital/aire-acondicionado-calefaccion-parking-terraza-trastero-ascensor/165393454/d?from=list
Piso de 99 m² con ascensor en Chile/ Chamartín ,515.000 €,99 m²,5ª Planta,2 baños,3 habs.,Sin calefacción,Sin AC,Sin ascensor,https://www.fotocasa.es/es/comprar/vivienda/madrid-capital/aire-acondicionado-calefaccion-ascensor/165407540/d?from=list
Sin título,Sin información,Sin información,Sin información,Sin información,Sin información,Sin calefacción,Sin AC,Sin ascensor,https://www.fotocasa.eshttps://ad.doubleclick.net/ddm/trackclk/N1086710.3511184DAN_ES_SCHIBSTED/B23729774.348220406;dc_trk_aid=539949226;dc_trk_cid=116933525;dc_lat=;dc_rdid=;tag_for_child_directed_treatment=;tfua=;ltd=
Piso de 111 m² con terraza en Calle de Carrero Juan Ramón/ Carabanchel ,296.000 €,111 m²,10ª Planta,2 baños,3 habs.,Sin calefacción,Sin AC,Sin ascensor,https://www.fotocasa.es/es/comprar/vivienda/madrid-capital/aire-acondicionado-calefaccion-terraza-ascensor-parking/164063873/d?from=list
Piso de 105 m² con terraza en Chamartín ,750.000 €,105 m²,7ª Planta,1 baño,2 habs.,Sin calefacción,Sin AC,Sin ascensor,https://www.fotocasa.es/es/comprar/vivienda/madrid-capital/aire-acondicionado-calefaccion-parking-terraza-trastero-zona-comunitaria-ascensor/164042241/d?from=list
Piso de 76 m² con terraza en Del Este/ Tetuán ,340.000 €,76 m²,1ª Planta,1 baño,1 hab.,Sin calefacción,Sin AC,Sin ascensor,https://www.fotocasa.es/es/comprar/vivienda/madrid-capital/aire-acondicionado-calefaccion-terraza-ascensor-piscina/165394503/d?from=list
Piso de 156 m² con terraza en Paseo del Prado/ Centro ,745.000 €,156 m²,3ª Planta,2 baños,6 habs.,Sin calefacción,Sin AC,Sin ascensor,https://www.fotocasa.es/es/comprar/vivienda/madrid-capital/calefaccion-terraza-trastero-ascensor/162950400/d?from=list
